"ID","a","b","c","d","e","f","g","h","predict"
"F00000305",1056,0,0,3,20,27,0,3,0
"F00000310",1056,0,0,3,40,41,0,1,1
"F00000311",1056,0,0,3,40,NA,0,2,1
"F00000313",1056,0,1,3,10,29,0,2,0
"F00000315",1056,0,1,3,25,45,0,2,0
"F00000317",1056,0,1,3,30,46,0,2,0
"F00000318",1056,0,1,3,35,30,0,2,0
"F00000320",1056,0,1,3,50,NA,0,2,0
"F00000321",1056,0,1,3,60,45,0,1,0
"F00000323",1056,0,1,3,15,35,0,2,1
"F00000324",1056,0,1,3,50,NA,0,2,1
"F00000327",1056,0,1,3,30,47,0,3,1
"F00000329",1056,0,1,3,10,42,0,3,2
"F00000330",1056,0,1,3,20,40,0,3,2
"F00000331",1056,0,1,3,30,27,0,2,2
"F00000332",1132,0,0,3,5,41,0,2,0
"F00000333",1132,0,0,3,5,NA,0,2,0
"F00000334",1132,0,0,3,10,44,0,2,0
"F00000335",1132,0,0,3,20,28,0,2,0
"F00000337",1132,0,0,3,25,39,0,2,0
"F00000338",1132,0,0,3,30,25,0,2,0
"F00000339",1132,0,0,3,30,44,0,3,0
"F00000342",1132,0,0,3,50,37,0,2,0
"F00000343",1132,0,0,3,40,38,0,2,1
"F00000345",1132,0,0,3,40,36,0,3,1
"F00000346",1132,0,0,3,20,46,0,1,1
"F00000348",1132,0,0,3,40,45,0,1,2
"F00000352",1132,0,1,3,5,30,0,1,0
"F00000353",1132,0,1,3,20,17,0,1,0
"F00000354",1132,0,1,3,20,37,0,3,0
"F00000355",1132,0,1,3,25,29,0,3,0
"F00000356",1132,0,1,3,30,33,0,2,0
"F00000358",1132,0,1,3,80,38,0,2,0
"F00000360",1132,0,1,3,30,43,0,2,2
"F00000362",1212,0,0,3,5,42,0,2,0
"F00000363",1212,0,0,3,20,50,0,2,0
"F00000364",1212,0,0,3,35,39,0,1,0
"F00000366",1212,0,0,3,10,10,0,1,1
"F00000369",1212,0,0,3,20,45,0,3,1
"F00000370",1212,0,0,3,40,19,0,1,1
"F00000371",1212,0,0,3,40,NA,0,3,1
"F00000372",1212,0,0,3,40,46,0,2,1
"F00000376",1212,0,0,3,40,45,0,3,1
"F00000377",1212,0,0,3,50,43,0,2,1
"F00000378",1212,0,0,3,20,42,0,3,2
"F00000379",1212,0,1,3,5,37,0,2,0
"F00000380",1212,0,1,3,20,24,0,2,0
"F00000383",1212,0,1,3,30,36,0,3,0
"F00000385",1212,0,1,3,45,39,0,2,0
"F00000386",1212,0,1,3,50,44,0,2,0
"F00000387",1212,0,1,3,50,47,0,1,0
"F00000389",1212,0,1,3,15,NA,0,2,1
"F00000390",1212,0,1,3,20,NA,0,1,1
"F00000391",1212,0,1,3,20,NA,0,2,1
"F00000392",1212,0,1,3,30,44,0,2,2
"F00000396",1296,0,0,3,20,43,0,2,0
"F00000397",1297,0,0,3,45,43,0,2,0
"F00000398",1296,0,0,3,5,42,0,2,1
"F00000399",1296,0,0,3,10,NA,0,2,1
"F00000401",1297,0,0,3,20,42,0,2,1
"F00000402",1296,0,0,3,25,32,0,2,1
"F00000407",1296,0,1,3,35,39,0,3,0
"F00000409",1296,0,1,3,40,NA,0,2,0
"F00000413",1296,0,1,3,10,41,0,2,1
"F00000417",1385,0,0,3,15,31,0,2,0
"F00000419",1385,0,0,3,25,30,0,2,0
"F00000420",1385,0,0,3,25,46,0,3,0
"F00000421",1385,0,0,3,30,43,0,1,0
"F00000422",1385,0,0,3,40,30,0,2,0
"F00000427",1385,0,0,3,10,45,0,2,2
"F00000428",1385,0,0,3,40,45,0,3,2
"F00000431",1385,0,1,3,5,42,0,3,0
"F00000432",1385,0,1,3,10,30,0,2,0
"F00000433",1385,0,1,3,10,40,0,2,0
"F00000435",1385,0,1,3,25,32,0,2,0
"F00000436",1385,0,1,3,30,49,0,1,0
"F00000437",1385,0,1,3,35,35,0,3,0
"F00000439",1385,0,1,3,50,47,0,2,0
"F00000442",1385,0,1,3,20,44,0,2,1
"F00000444",1385,0,1,3,40,40,0,2,1
"F00000445",1385,0,1,3,10,40,0,2,1
"F00000449",1478,0,0,3,10,25,0,1,0
"F00000452",1478,0,0,3,15,53,0,1,0
"F00000453",1478,0,0,3,20,46,0,1,0
"F00000455",1478,0,0,3,40,24,0,2,0
"F00000456",1478,0,0,3,30,50,0,1,1
"F00000457",1478,0,0,3,20,37,0,1,1
"F00000458",1478,0,0,3,35,48,0,1,1
"F00000459",1478,0,0,3,30,34,0,2,1
"F00000461",1478,0,0,3,30,47,0,3,2
"F00000462",1478,0,1,3,5,44,0,2,0
"F00000464",1478,0,1,3,20,19,0,3,0
"F00000467",1478,0,1,3,30,51,0,1,0
"F00000469",1478,0,1,3,60,45,0,2,0
"F00000470",1478,0,1,3,60,50,0,1,0
"F00000471",1478,0,1,3,20,41,0,2,2
"F00000473",1576,0,0,3,15,41,0,2,0
"F00000476",1576,0,0,3,30,NA,0,2,0
"F00000478",1576,0,0,3,50,NA,0,2,0
"F00000479",1576,0,0,3,80,38,0,3,0
"F00000481",1576,0,0,3,30,50,0,3,1
"F00000482",1576,0,0,3,20,48,0,3,1
"F00000484",1576,0,0,3,25,48,0,2,1
"F00000485",1575,0,1,3,5,36,0,3,0
"F00000487",1576,0,1,3,10,37,0,1,0
"F00000490",1576,0,1,3,30,41,0,2,0
"F00000492",1576,0,1,3,60,45,0,2,0
"F00000493",1576,0,1,3,40,48,0,3,1
"F00000495",1678,0,0,3,10,50,0,2,0
"F00000498",1678,0,0,3,20,43,0,2,1
"F00000501",1678,0,0,3,10,40,0,2,1
"F00000504",1678,0,0,3,50,39,0,2,2
"F00000505",1678,0,0,3,5,44,0,2,2
"F00000506",1678,0,1,3,5,41,0,3,0
"F00000507",1678,0,1,3,10,45,0,1,0
"F00000508",1678,0,1,3,15,42,0,2,0
"F00000510",1678,0,1,3,20,44,0,3,0
"F00000513",1678,0,1,3,50,NA,0,2,1
"F00000514",1785,0,0,3,10,20,0,1,0
"F00000516",1786,0,0,3,50,47,0,2,0
"F00000517",1785,0,0,3,20,51,0,2,1
"F00000518",1786,0,0,3,40,51,0,1,1
"F00000520",1785,0,0,3,40,50,0,1,1
"F00000521",1786,0,0,3,20,45,0,3,1
"F00000524",1786,0,1,3,15,36,0,2,0
"F00000526",1785,0,1,3,40,30,0,1,0
"F00000527",1785,0,1,3,40,51,0,1,0
"F00000528",1785,0,1,3,40,53,0,2,0
"F00000529",1786,0,1,3,45,34,0,2,0
"F00000530",1785,0,1,3,20,NA,0,2,1
"F00000531",1785,0,1,3,20,NA,0,1,1
"F00000532",1898,0,0,3,15,49,0,3,0
"F00000535",1898,0,0,3,30,51,0,2,0
"F00000537",1898,0,0,3,35,54,0,3,0
"F00000539",1898,0,0,3,40,45,0,3,1
"F00000541",1898,0,0,3,15,52,0,1,1
"F00000543",1898,0,0,3,30,49,0,2,1
"F00000544",1898,0,0,3,30,50,0,2,2
"F00000545",1898,0,1,3,5,50,0,1,0
"F00000547",1898,0,1,3,10,45,0,2,0
"F00000550",1898,0,1,3,5,50,0,2,1
"F00000551",1898,0,1,3,40,48,0,2,1
"F00000552",1898,0,1,3,20,41,0,3,1
"F00000553",1898,0,1,3,25,41,0,1,2
"F00000555",2015,0,0,3,15,38,0,2,0
"F00000556",2015,0,0,3,20,NA,0,3,0
"F00000557",2015,0,0,3,50,NA,0,2,0
"F00000559",2015,0,0,3,60,53,0,2,0
"F00000560",2016,0,0,3,30,NA,0,2,1
"F00000561",2016,0,0,3,20,40,0,1,1
"F00000563",2016,0,0,3,15,47,0,2,1
"F00000564",2015,0,0,3,30,50,0,2,1
"F00000565",2016,0,0,3,60,54,0,2,2
"F00000569",2015,0,1,3,60,41,0,1,0
"F00000570",2016,0,1,3,20,49,0,1,1
"F00000571",2015,0,1,3,15,53,0,2,1
"F00000572",2016,0,1,3,30,52,0,3,1
"F00000573",2015,0,1,3,20,50,0,3,1
"F00000575",2015,0,1,3,20,50,0,2,1
"F00000576",2015,0,1,3,40,51,0,1,1
"F00000578",2139,0,0,3,40,NA,0,1,0
"F00000580",2138,0,0,3,20,55,0,3,1
"F00000581",2138,0,0,3,40,52,0,1,1
"F00000582",2138,0,0,3,20,56,0,1,2
"F00000585",2139,0,1,3,20,20,0,1,0
"F00000590",2139,0,1,3,30,43,0,2,1
"F00000591",2267,0,0,3,10,53,0,1,0
"F00000595",2267,0,0,3,20,25,0,3,0
"F00000596",2267,0,0,3,20,46,0,2,0
"F00000597",2267,0,0,3,20,54,0,2,0
"F00000598",2267,0,0,3,20,61,0,2,0
"F00000601",2267,0,0,3,40,48,0,2,0
"F00000602",2267,0,0,3,90,55,0,1,0
"F00000605",2267,0,1,3,15,NA,0,1,0
"F00000606",2267,0,1,3,10,40,0,1,1
"F00000609",2402,0,0,3,5,54,0,2,0
"F00000611",2401,0,0,3,15,NA,0,2,0
"F00000612",2401,0,0,3,20,35,0,2,0
"F00000616",2401,0,0,3,30,45,0,2,1
"F00000617",2401,0,0,3,60,50,0,2,1
"F00000618",2401,0,0,3,40,50,0,2,1
"F00000619",2402,0,0,3,5,50,0,1,1
"F00000620",2402,0,0,3,60,55,0,2,1
"F00000621",2401,0,1,3,5,52,0,2,0
"F00000623",2401,0,1,3,15,18,0,2,0
"F00000624",2402,0,1,3,20,44,0,2,0
"F00000626",2402,0,1,3,40,56,0,2,0
"F00000627",2542,0,0,3,10,57,0,2,0
"F00000628",2541,0,0,3,15,NA,0,1,0
"F00000629",2542,0,0,3,40,57,0,2,0
"F00000634",2541,0,0,3,20,55,0,1,1
"F00000635",2541,0,1,3,5,30,0,2,0
"F00000636",2541,0,1,3,30,53,0,1,0
"F00000639",2542,0,1,3,80,56,0,1,0
"F00000640",2542,0,1,3,10,54,0,2,1
"F00000641",2541,0,1,3,5,55,0,1,1
"F00000644",2688,0,0,3,30,62,0,2,0
"F00000646",2688,0,0,3,40,56,0,2,1
"F00000650",2688,0,0,3,20,54,0,2,2
"F00000651",2687,0,1,3,30,60,0,2,0
"F00000653",2687,0,1,3,30,NA,0,3,1
"F00000654",2688,0,1,3,40,56,0,3,1
"F00000655",2688,0,1,3,40,51,0,2,2
"F00000656",2840,0,0,3,10,57,0,2,0
"F00000657",2840,0,0,3,15,55,0,1,0
"F00000658",2840,0,0,3,30,63,0,1,0
"F00000660",2840,0,0,3,20,53,0,1,1
"F00000661",2840,0,0,3,20,54,0,2,1
"F00000662",2840,0,0,3,30,60,0,1,2
"F00000663",2840,0,1,3,10,46,0,1,0
"F00000668",2999,0,0,3,30,60,0,2,1
"F00000671",2999,0,0,3,30,61,0,2,1
"F00000673",2999,0,1,3,15,49,0,2,0
"F00000674",2999,0,1,3,20,44,0,3,0
"F00000677",2999,0,1,3,10,NA,0,3,1
"F00000678",3164,0,0,3,5,54,0,1,0
"F00000679",3165,0,0,3,20,62,0,3,0
"F00000680",3165,0,0,3,30,57,0,1,0
"F00000681",3165,0,0,3,5,NA,0,3,1
"F00000686",3164,0,1,3,55,60,0,2,0
"F00000688",3336,0,0,3,5,56,0,2,1
"F00000690",3337,0,0,3,20,62,0,3,2
"F00000691",3337,0,1,3,10,66,0,2,0
"F00000692",3337,0,1,3,20,63,0,3,0
"F00000693",3337,0,1,3,15,60,0,3,2
"F00000694",3516,0,0,3,20,50,0,2,0
"F00000695",3516,0,0,3,30,55,0,2,0
"F00000696",3516,0,0,3,20,59,0,2,1
"F00000698",3702,0,0,3,10,60,0,3,0
"F00000699",3702,0,0,3,15,64,0,2,0
"F00000700",3702,0,0,3,20,63,0,2,1
"F00000706",3896,0,0,3,20,61,0,1,0
"F00000709",151,1,0,3,20,25,0,1,0
"F00000710",150,1,0,3,30,13,0,2,0
"F00000711",151,1,0,3,60,15,0,2,0
"F00000712",150,1,1,3,5,13,0,1,0
"F00000713",150,1,1,3,20,10,0,3,0
"F00000716",150,1,1,3,40,21,0,1,0
"F00000718",169,1,1,3,10,21,0,2,0
"F00000719",168,1,1,3,20,7,0,3,0
"F00000721",188,1,1,3,20,22,0,3,0
"F00000722",188,1,1,3,35,25,0,2,0
"F00000723",188,1,1,3,40,26,0,3,0
"F00000724",188,1,1,3,60,19,0,3,0
"F00000725",209,1,0,3,20,17,0,2,0
"F00000726",209,1,0,3,30,18,0,2,0
"F00000728",209,1,0,3,40,24,0,2,0
"F00000731",209,1,1,3,55,21,0,2,0
"F00000734",232,1,0,3,30,19,0,3,0
"F00000735",232,1,0,3,30,21,0,1,0
"F00000737",232,1,0,3,35,22,0,1,0
"F00000738",232,1,1,3,5,5,0,1,0
"F00000739",232,1,1,3,20,13,0,1,0
"F00000740",231,1,1,3,25,20,0,2,0
"F00000741",257,1,0,3,15,15,0,3,0
"F00000746",283,1,1,3,10,15,0,1,0
"F00000747",283,1,1,3,10,NA,0,2,0
"F00000748",283,1,1,3,20,24,0,2,0
"F00000749",283,1,1,3,25,25,0,1,0
"F00000750",283,1,1,3,40,19,0,2,0
"F00000757",312,1,1,3,5,15,0,3,0
"F00000758",311,1,1,3,5,28,0,3,0
"F00000760",312,1,1,3,15,25,0,2,0
"F00000761",311,1,1,3,20,24,0,2,0
"F00000763",311,1,1,3,20,27,0,2,0
"F00000764",312,1,1,3,30,18,0,1,0
"F00000765",311,1,1,3,45,18,0,2,0
"F00000766",312,1,1,3,60,29,0,3,0
"F00000767",342,1,0,3,5,23,0,2,0
"F00000771",342,1,0,3,40,20,0,1,0
"F00000772",342,1,0,3,50,17,0,1,0
"F00000774",342,1,1,3,10,30,0,3,0
"F00000775",342,1,1,3,20,10,0,2,0
"F00000777",342,1,1,3,20,25,0,3,1
"F00000779",375,1,0,3,15,15,0,2,0
"F00000780",375,1,0,3,15,NA,0,2,0
"F00000782",375,1,0,3,30,26,0,3,0
"F00000783",375,1,0,3,35,24,0,2,0
"F00000784",375,1,0,3,35,29,0,3,0
"F00000786",375,1,0,3,55,25,0,2,0
"F00000787",375,1,1,3,20,13,0,1,0
"F00000788",375,1,1,3,25,29,0,2,0
"F00000791",411,1,0,3,25,33,0,2,0
"F00000792",410,1,0,3,30,28,0,2,0
"F00000793",410,1,0,3,20,26,0,1,1
"F00000795",410,1,1,3,5,27,0,2,0
"F00000802",448,1,0,3,5,22,0,3,0
"F00000803",448,1,0,3,5,26,0,2,0
"F00000804",448,1,0,3,10,NA,0,2,0
"F00000805",448,1,0,3,20,12,0,1,0
"F00000806",448,1,0,3,20,13,0,2,0
"F00000808",448,1,0,3,20,34,0,3,0
"F00000809",448,1,0,3,40,34,0,3,0
"F00000815",448,1,1,3,50,NA,0,3,0
"F00000816",448,1,1,3,20,8,0,1,1
"F00000817",488,1,0,3,25,28,0,2,0
"F00000818",488,1,0,3,10,6,0,2,1
"F00000819",489,1,0,3,15,29,0,2,1
"F00000820",489,1,0,3,35,31,0,2,1
"F00000821",489,1,0,3,10,28,0,2,1
"F00000822",488,1,0,3,40,18,0,1,2
"F00000824",488,1,1,3,25,NA,0,2,0
"F00000825",488,1,1,3,25,33,0,2,0
"F00000827",488,1,1,3,40,17,0,2,0
"F00000828",488,1,1,3,40,37,0,3,0
"F00000830",488,1,1,3,40,30,0,3,2
"F00000833",531,1,0,3,15,14,0,2,0
"F00000834",531,1,0,3,35,29,0,2,0
"F00000836",531,1,0,3,50,33,0,3,0
"F00000838",531,1,1,3,30,23,0,1,0
"F00000840",577,1,0,3,10,29,0,2,0
"F00000843",577,1,0,3,35,32,0,2,0
"F00000844",577,1,0,3,40,NA,0,3,1
"F00000846",577,1,0,3,20,31,0,3,2
"F00000848",577,1,1,3,5,NA,0,2,0
"F00000849",577,1,1,3,20,NA,0,2,0
"F00000852",577,1,1,3,15,31,0,1,1
"F00000853",625,1,0,3,5,10,0,1,0
"F00000866",626,1,1,3,40,31,0,1,0
"F00000867",625,1,1,3,40,NA,0,1,0
"F00000870",677,1,0,3,30,21,0,3,0
"F00000873",677,1,0,3,40,35,0,2,1
"F00000874",677,1,1,3,5,35,0,2,0
"F00000875",677,1,1,3,15,35,0,2,0
"F00000876",677,1,1,3,30,18,0,3,0
"F00000877",677,1,1,3,30,25,0,3,0
"F00000878",677,1,1,3,45,25,0,2,0
"F00000880",677,1,1,3,30,32,0,3,2
"F00000881",732,1,0,3,5,18,0,3,0
"F00000884",731,1,0,3,5,37,0,2,0
"F00000888",732,1,0,3,40,35,0,1,1
"F00000889",731,1,0,3,30,38,0,2,1
"F00000890",732,1,0,3,25,34,0,3,1
"F00000893",731,1,1,3,30,19,0,2,0
"F00000894",731,1,1,3,35,36,0,3,0
"F00000895",732,1,1,3,60,30,0,2,0
"F00000897",789,1,0,3,10,22,0,2,0
"F00000898",790,1,0,3,10,37,0,1,0
"F00000899",789,1,0,3,25,31,0,1,0
"F00000900",789,1,0,3,40,26,0,2,0
"F00000901",790,1,0,3,30,34,0,1,1
"F00000904",790,1,1,3,10,29,0,2,0
"F00000905",789,1,1,3,30,36,0,1,0
"F00000906",789,1,1,3,45,34,0,3,0
"F00000909",790,1,1,3,60,35,0,1,0
"F00000910",789,1,1,3,30,30,0,2,1
"F00000911",789,1,1,3,10,31,0,1,1
"F00000912",790,1,1,3,20,35,0,2,1
"F00000914",851,1,0,3,10,16,0,2,0
"F00000916",851,1,0,3,20,24,0,2,0
"F00000917",851,1,0,3,20,NA,0,3,0
"F00000919",851,1,0,3,40,37,0,2,0
"F00000920",851,1,1,3,10,5,0,2,0
"F00000921",851,1,1,3,15,15,0,2,0
"F00000923",850,1,1,3,15,27,0,3,0
"F00000924",851,1,1,3,20,22,0,2,0
"F00000925",851,1,1,3,25,38,0,2,0
"F00000927",851,1,1,3,20,24,0,2,2
"F00000928",915,1,0,3,5,NA,0,2,0
"F00000929",915,1,0,3,10,22,0,2,0
"F00000937",916,1,0,3,60,31,0,2,0
"F00000938",915,1,0,3,20,17,0,1,1
"F00000939",915,1,0,3,20,NA,0,2,1
"F00000942",916,1,0,3,40,18,0,1,1
"F00000943",915,1,0,3,30,40,0,1,2
"F00000945",915,1,1,3,15,39,0,3,0
"F00000946",915,1,1,3,20,8,0,3,0
"F00000951",915,1,1,3,40,40,0,2,0
"F00000952",915,1,1,3,20,20,0,2,1
"F00000953",915,1,1,3,20,34,0,2,2
"F00000954",984,1,0,3,5,8,0,2,0
"F00000956",984,1,0,3,20,7,0,2,0
"F00000957",984,1,0,3,20,9,0,1,0
"F00000958",984,1,0,3,35,NA,0,1,0
"F00000959",984,1,0,3,35,43,0,1,0
"F00000962",984,1,1,3,10,23,0,3,0
"F00000963",984,1,1,3,10,38,0,2,0
"F00000964",984,1,1,3,15,41,0,2,0
"F00000965",984,1,1,3,25,17,0,3,0
"F00000968",984,1,1,3,40,37,0,1,0
"F00000969",984,1,1,3,50,31,0,3,0
"F00000971",1056,1,0,3,30,41,0,1,0
"F00000973",1056,1,0,3,40,35,0,3,0
"F00000974",1056,1,0,3,45,37,0,1,0
"F00000975",1056,1,0,3,15,32,0,2,1
"F00000976",1056,1,1,3,5,31,0,2,0
"F00000978",1056,1,1,3,15,NA,0,2,0
"F00000979",1056,1,1,3,20,24,0,2,0
"F00000981",1056,1,1,3,40,29,0,3,0
"F00000982",1056,1,1,3,40,37,0,2,1
"F00000986",1132,1,0,3,20,46,0,2,0
"F00000987",1132,1,0,3,30,39,0,1,0
"F00000988",1132,1,0,3,20,25,0,2,1
"F00000991",1132,1,1,3,10,31,0,2,0
"F00000992",1132,1,1,3,15,34,0,3,0
"F00000995",1132,1,1,3,35,45,0,2,0
"F00000996",1212,1,0,3,5,18,0,1,0
"F00000997",1212,1,0,3,10,44,0,3,0
"F00000998",1212,1,0,3,15,31,0,3,0
"F00000999",1212,1,0,3,15,40,0,1,0
"F00001000",1212,1,0,3,20,27,0,3,0
"F00001003",1212,1,0,3,40,44,0,2,0
"F00001004",1212,1,0,3,40,49,0,2,0
"F00001005",1212,1,0,3,25,44,0,2,1
"F00001008",1212,1,0,3,25,40,0,1,2
"F00001011",1212,1,1,3,10,32,0,2,0
"F00001013",1212,1,1,3,15,43,0,2,0
"F00001014",1212,1,1,3,20,23,0,1,0
"F00001019",1212,1,1,3,60,NA,0,2,0
"F00001021",1212,1,1,3,20,31,0,2,1
"F00001022",1212,1,1,3,40,41,0,3,1
"F00001024",1296,1,0,3,5,NA,0,1,0
"F00001026",1296,1,0,3,20,48,0,2,0
"F00001027",1296,1,0,3,30,NA,0,3,0
